,Date,ProductID,ProductName,Category,OriginalPrice,DiscountPrice,PromotionType,PromotionText,SalesVolume,Revenue,SalesOrganization,DistributionChannel,BusinessUnit,BusinessUnitType
0,13-04-2023,1002,iPhone 15,Smartphones,80.6,14.76,Free Gift,Get a free case,22,1404,Central,Catalog,BU214,Retail Store
1,26-10-2023,8001,iPhone 15 Pro,Smartphones,65.6,11.13,Discount,Get a free case,27,2163,North,Online,BU218,DistributionCenter
2,18-02-2023,7001,OnePlus 12,Smartphones,83.2,13.71,Bonus Buy,Get 10% off,12,1274,West,In-store,BU212,Retail Store
3,24-03-2022,1002,OnePlus 11,Smartphones,87.84,10.67,BOGOF,Free adapter,59,1931,South,In-store,BU201,DistributionCenter
4,06-01-2022,7001,iPhone 15,Smartphones,71.41,10.9,BOGOF,Get 10% off,13,2919,South,Catalog,BU213,Retail Store
5,20-05-2022,8001,Google Pixel 8,Smartphones,60.93,13.58,Bonus Buy,Get a free case,12,2429,South,In-store,BU210,Retail Store
6,18-05-2023,8001,Samsung A70,Smartphones,86.63,13.29,Discount,Free adapter,14,1542,South,Online,BU201,DistributionCenter
7,09-09-2023,4001,Samsung S23,Smartphones,78.22,10.68,Bonus Buy,Get 10% off on earbuds,25,1424,Central,Catalog,BU217,DistributionCenter
8,07-02-2022,5001,Samsung A70,Smartphones,88.15,11.2,Discount,Get 10% off on earbuds,12,2471,East,Catalog,BU204,DistributionCenter
9,11-02-2022,9001,OnePlus 11,Smartphones,60.45,10.45,Free Gift,Get a free case,55,1883,West,Online,BU205,Retail Store
10,09-12-2022,5001,iPhone 14 Pro,Smartphones,70.58,11.91,BOGOF,Get a free case,33,2710,Central,In-store,BU212,DistributionCenter
11,29-09-2023,1002,OnePlus 12,Smartphones,82.04,11.17,Free Gift,Get 10% off,17,1381,East,Online,BU214,DistributionCenter
12,27-03-2022,5001,OnePlus 11,Smartphones,72.61,11.01,Free Gift,Get 10% off on earbuds,38,2083,South,Online,BU207,DistributionCenter
13,15-05-2023,5001,iPhone 15 Pro,Smartphones,80.68,14.41,Discount,Free adapter,35,1536,West,Catalog,BU204,Retail Store
14,23-03-2023,9001,OnePlus 12,Smartphones,81.27,11.41,BOGOF,Free adapter,24,2924,West,In-store,BU202,DistributionCenter
15,05-04-2023,4001,iPhone 14 Pro,Smartphones,70.32,12.57,Bonus Buy,Free adapter,27,1407,Central,Online,BU207,DistributionCenter
16,18-06-2022,7001,Samsung S23,Smartphones,79.26,14.29,Bonus Buy,Get a free case,40,1685,North,Online,BU212,DistributionCenter
17,12-01-2022,7001,iPhone 15 Pro,Smartphones,81.83,11.17,Discount,Get a free case,49,2347,West,Catalog,BU218,DistributionCenter
18,09-01-2023,7001,Google Pixel 8,Smartphones,75.1,14.31,Free Gift,Get 10% off,46,2893,Central,In-store,BU210,DistributionCenter
19,17-11-2023,6001,Samsung S23,Smartphones,62.55,13.68,Bonus Buy,Get a free case,53,2515,West,Online,BU202,Retail Store
20,14-01-2022,10001,iPhone 15 Pro,Smartphones,85.65,12.69,Discount,Get a free case,41,2642,South,In-store,BU213,Retail Store
21,06-01-2023,5001,Samsung A70,Smartphones,89.17,14.88,Bonus Buy,Get a free case,34,2465,Central,Online,BU208,Retail Store
22,05-08-2022,1001,Samsung S23,Smartphones,89.97,12.67,BOGOF,Get a free case,51,1931,South,In-store,BU207,Retail Store
23,17-08-2023,8001,Samsung A70,Smartphones,60.99,12.81,Free Gift,Get 10% off on earbuds,33,1547,West,In-store,BU218,Retail Store
